type,time,schedule,direction,operator
local,9:53,weekend,sb,caltrain
local,10:53,weekend,sb,caltrain
local,11:53,weekend,sb,caltrain
local,12:53,weekend,sb,caltrain
bb,13:05,weekend,sb,caltrain
local,13:53,weekend,sb,caltrain
local,14:53,weekend,sb,caltrain
local,15:53,weekend,sb,caltrain
local,16:53,weekend,sb,caltrain
local,17:53,weekend,sb,caltrain
local,18:53,weekend,sb,caltrain
local,19:53,weekend,sb,caltrain
bb,20:05,weekend,sb,caltrain
local,20:53,weekend,sb,caltrain
local,21:53,weekend,sb,caltrain
local,22:53,weekend,sb,caltrain
local,4:30,weekday,nb,caltrain
local,5:05,weekday,nb,caltrain
bb,5:45,weekday,nb,caltrain
ls,5:57,weekday,nb,caltrain
bb,6:03,weekday,nb,caltrain
ls,6:19,weekday,nb,caltrain
bb,6:45,weekday,nb,caltrain
ls,6:50,weekday,nb,caltrain
ls,6:57,weekday,nb,caltrain
bb,7:03,weekday,nb,caltrain
ls,7:18,weekday,nb,caltrain
bb,7:45,weekday,nb,caltrain
ls,7:50,weekday,nb,caltrain
ls,7:57,weekday,nb,caltrain
bb,8:03,weekday,nb,caltrain
ls,8:22,weekday,nb,caltrain
ls,8:40,weekday,nb,caltrain
local,9:15,weekday,nb,caltrain
ls,9:50,weekday,nb,caltrain
local,10:15,weekday,nb,caltrain
local,11:10,weekday,nb,caltrain
local,12:10,weekday,nb,caltrain
local,13:10,weekday,nb,caltrain
local,14:15,weekday,nb,caltrain
ls,14:40,weekday,nb,caltrain
local,15:05,weekday,nb,caltrain
ls,15:45,weekday,nb,caltrain
ls,16:08,weekday,nb,caltrain
bb,16:22,weekday,nb,caltrain
ls,16:31,weekday,nb,caltrain
ls,16:40,weekday,nb,caltrain
bb,16:45,weekday,nb,caltrain
ls,17:08,weekday,nb,caltrain
bb,17:22,weekday,nb,caltrain
ls,17:31,weekday,nb,caltrain
ls,17:40,weekday,nb,caltrain
bb,17:45,weekday,nb,caltrain
ls,18:08,weekday,nb,caltrain
bb,18:22,weekday,nb,caltrain
ls,18:31,weekday,nb,caltrain
ls,18:45,weekday,nb,caltrain
local,18:50,weekday,nb,caltrain
local,19:30,weekday,nb,caltrain
local,20:30,weekday,nb,caltrain
local,21:30,weekday,nb,caltrain
local,22:30,weekday,nb,caltrain
local,6:28,weekday,sb,caltrain
local,6:58,weekday,sb,caltrain
ls,7:20,weekday,sb,caltrain
ls,7:45,weekday,sb,caltrain
ls,8:11,weekday,sb,caltrain
bb,8:03,weekday,sb,caltrain
bb,8:16,weekday,sb,caltrain
ls,8:34,weekday,sb,caltrain
ls,8:45,weekday,sb,caltrain
ls,9:10,weekday,sb,caltrain
bb,9:03,weekday,sb,caltrain
bb,9:16,weekday,sb,caltrain
ls,9:34,weekday,sb,caltrain
ls,9:45,weekday,sb,caltrain
bb,10:10,weekday,sb,caltrain
ls,10:03,weekday,sb,caltrain
local,10:34,weekday,sb,caltrain
ls,11:04,weekday,sb,caltrain
local,11:34,weekday,sb,caltrain
local,12:34,weekday,sb,caltrain
local,13:34,weekday,sb,caltrain
local,14:34,weekday,sb,caltrain
local,15:34,weekday,sb,caltrain
ls,16:04,weekday,sb,caltrain
local,16:38,weekday,sb,caltrain
ls,17:04,weekday,sb,caltrain
bb,17:09,weekday,sb,caltrain
ls,17:28,weekday,sb,caltrain
bb,17:36,weekday,sb,caltrain
ls,18:00,weekday,sb,caltrain
bb,18:14,weekday,sb,caltrain
bb,18:20,weekday,sb,caltrain
ls,18:30,weekday,sb,caltrain
bb,18:36,weekday,sb,caltrain
ls,19:00,weekday,sb,caltrain
bb,19:14,weekday,sb,caltrain
ls,19:30,weekday,sb,caltrain
bb,19:36,weekday,sb,caltrain
ls,20:00,weekday,sb,caltrain
ls,20:18,weekday,sb,caltrain
local,21:06,weekday,sb,caltrain
local,22:13,weekday,sb,caltrain
local,23:13,weekday,sb,caltrain
local,24:13,weekday,sb,caltrain
local,25:34,weekday,sb,caltrain
local,7:45,weekend,nb,caltrain
local,8:45,weekend,nb,caltrain
local,9:45,weekend,nb,caltrain
bb,10:22,weekend,nb,caltrain
local,10:45,weekend,nb,caltrain
local,11:45,weekend,nb,caltrain
local,12:45,weekend,nb,caltrain
local,13:45,weekend,nb,caltrain
local,14:45,weekend,nb,caltrain
local,15:45,weekend,nb,caltrain
local,16:45,weekend,nb,caltrain
bb,17:22,weekend,nb,caltrain
local,17:45,weekend,nb,caltrain
local,18:45,weekend,nb,caltrain
local,19:45,weekend,nb,caltrain
local,20:45,weekend,nb,caltrain
