type, time
local, 6:28, weekday, sb
local, 6:58, weekday, sb
ls, 7:20, weekday, sb
ls, 7:45, weekday, sb
ls, 8:11, weekday, sb
bb, 8:03, weekday, sb
bb, 8:16, weekday, sb
ls, 8:34, weekday, sb
ls, 8:45, weekday, sb
ls, 9:10, weekday, sb
bb, 9:03, weekday, sb
bb, 9:16, weekday, sb
ls, 9:34, weekday, sb
ls, 9:45, weekday, sb
bb, 10:10, weekday, sb
ls, 10:03, weekday, sb
local, 10:34, weekday, sb
ls, 11:04, weekday, sb
local, 11:34, weekday, sb
local, 12:34, weekday, sb
local, 13:34, weekday, sb
local, 14:34, weekday, sb
local, 15:34, weekday, sb
ls, 16:04, weekday, sb
local, 16:38, weekday, sb
ls, 17:04, weekday, sb
bb, 17:09, weekday, sb
ls, 17:28, weekday, sb
bb, 17:36, weekday, sb
ls, 18:00, weekday, sb
bb, 18:14, weekday, sb
bb, 18:20, weekday, sb
ls, 18:30, weekday, sb
bb, 18:36, weekday, sb
ls, 19:00, weekday, sb
bb, 19:14, weekday, sb
ls, 19:30, weekday, sb
bb, 19:36, weekday, sb
ls, 20:00, weekday, sb
ls, 20:18, weekday, sb
local, 21:06, weekday, sb
local, 22:13, weekday, sb
local, 23:13, weekday, sb
local, 24:13, weekday, sb
local, 25:34, weekday, sb
