time,schedule,direction,operator
5:30,weekday,nb,vta
5:45,weekday,nb,vta
6:00,weekday,nb,vta
6:15,weekday,nb,vta
6:30,weekday,nb,vta
6:45,weekday,nb,vta
7:00,weekday,nb,vta
7:15,weekday,nb,vta
7:30,weekday,nb,vta
7:45,weekday,nb,vta
8:00,weekday,nb,vta
8:15,weekday,nb,vta
8:30,weekday,nb,vta
8:45,weekday,nb,vta
9:00,weekday,nb,vta
9:15,weekday,nb,vta
9:30,weekday,nb,vta
9:45,weekday,nb,vta
10:00,weekday,nb,vta
10:15,weekday,nb,vta
10:45,weekday,nb,vta
11:16,weekday,nb,vta
11:46,weekday,nb,vta
12:16,weekday,nb,vta
12:46,weekday,nb,vta
13:16,weekday,nb,vta
13:46,weekday,nb,vta
14:16,weekday,nb,vta
14:46,weekday,nb,vta
15:15,weekday,nb,vta
15:30,weekday,nb,vta
15:45,weekday,nb,vta
16:00,weekday,nb,vta
16:15,weekday,nb,vta
16:30,weekday,nb,vta
16:45,weekday,nb,vta
17:00,weekday,nb,vta
17:15,weekday,nb,vta
17:30,weekday,nb,vta
17:45,weekday,nb,vta
18:00,weekday,nb,vta
18:15,weekday,nb,vta
18:31,weekday,nb,vta
18:46,weekday,nb,vta
19:01,weekday,nb,vta
19:16,weekday,nb,vta
19:31,weekday,nb,vta
19:46,weekday,nb,vta
20:01,weekday,nb,vta
20:16,weekday,nb,vta
20:31,weekday,nb,vta
20:42,weekday,nb,vta
21:03,weekday,nb,vta
21:33,weekday,nb,vta
22:03,weekday,nb,vta
22:33,weekday,nb,vta
23:03,weekday,nb,vta
23:33,weekday,nb,vta
24:30,weekday,nb,vta
5:03,weekday,sb,vta
5:18,weekday,sb,vta
5:33,weekday,sb,vta
5:47,weekday,sb,vta
6:02,weekday,sb,vta
6:17,weekday,sb,vta
6:32,weekday,sb,vta
6:48,weekday,sb,vta
7:03,weekday,sb,vta
7:18,weekday,sb,vta
7:33,weekday,sb,vta
7:48,weekday,sb,vta
8:03,weekday,sb,vta
8:18,weekday,sb,vta
8:33,weekday,sb,vta
8:48,weekday,sb,vta
9:03,weekday,sb,vta
9:18,weekday,sb,vta
9:33,weekday,sb,vta
10:03,weekday,sb,vta
10:33,weekday,sb,vta
11:03,weekday,sb,vta
11:33,weekday,sb,vta
12:03,weekday,sb,vta
12:33,weekday,sb,vta
13:03,weekday,sb,vta
13:33,weekday,sb,vta
14:03,weekday,sb,vta
14:33,weekday,sb,vta
14:48,weekday,sb,vta
15:03,weekday,sb,vta
15:18,weekday,sb,vta
15:33,weekday,sb,vta
15:48,weekday,sb,vta
16:03,weekday,sb,vta
16:18,weekday,sb,vta
16:33,weekday,sb,vta
16:48,weekday,sb,vta
17:03,weekday,sb,vta
17:18,weekday,sb,vta
17:33,weekday,sb,vta
17:48,weekday,sb,vta
18:04,weekday,sb,vta
18:18,weekday,sb,vta
18:33,weekday,sb,vta
18:49,weekday,sb,vta
19:03,weekday,sb,vta
19:18,weekday,sb,vta
19:33,weekday,sb,vta
19:48,weekday,sb,vta
20:03,weekday,sb,vta
20:18,weekday,sb,vta
20:32,weekday,sb,vta
20:53,weekday,sb,vta
21:23,weekday,sb,vta
21:53,weekday,sb,vta
22:23,weekday,sb,vta
22:52,weekday,sb,vta
23:21,weekday,sb,vta
23:59,weekday,sb,vta
6:37,weekend,nb,vta
7:07,weekend,nb,vta
7:36,weekend,nb,vta
8:06,weekend,nb,vta
8:36,weekend,nb,vta
9:06,weekend,nb,vta
9:36,weekend,nb,vta
10:06,weekend,nb,vta
10:36,weekend,nb,vta
11:06,weekend,nb,vta
11:36,weekend,nb,vta
12:06,weekend,nb,vta
12:36,weekend,nb,vta
13:06,weekend,nb,vta
13:36,weekend,nb,vta
14:06,weekend,nb,vta
14:36,weekend,nb,vta
15:06,weekend,nb,vta
15:36,weekend,nb,vta
16:06,weekend,nb,vta
16:36,weekend,nb,vta
17:06,weekend,nb,vta
17:36,weekend,nb,vta
18:06,weekend,nb,vta
18:36,weekend,nb,vta
19:06,weekend,nb,vta
19:36,weekend,nb,vta
20:06,weekend,nb,vta
20:34,weekend,nb,vta
21:07,weekend,nb,vta
21:37,weekend,nb,vta
22:07,weekend,nb,vta
22:37,weekend,nb,vta
23:07,weekend,nb,vta
23:37,weekend,nb,vta
24:27,weekend,nb,vta
6:37,weekend,sb,vta
6:57,weekend,sb,vta
7:26,weekend,sb,vta
7:56,weekend,sb,vta
8:26,weekend,sb,vta
8:56,weekend,sb,vta
9:26,weekend,sb,vta
9:56,weekend,sb,vta
10:26,weekend,sb,vta
10:56,weekend,sb,vta
11:26,weekend,sb,vta
11:56,weekend,sb,vta
12:26,weekend,sb,vta
12:56,weekend,sb,vta
13:26,weekend,sb,vta
13:56,weekend,sb,vta
14:26,weekend,sb,vta
14:56,weekend,sb,vta
15:26,weekend,sb,vta
15:56,weekend,sb,vta
16:26,weekend,sb,vta
16:56,weekend,sb,vta
17:26,weekend,sb,vta
17:56,weekend,sb,vta
18:26,weekend,sb,vta
18:56,weekend,sb,vta
19:26,weekend,sb,vta
19:56,weekend,sb,vta
20:24,weekend,sb,vta
20:57,weekend,sb,vta
21:27,weekend,sb,vta
21:57,weekend,sb,vta
22:27,weekend,sb,vta
22:57,weekend,sb,vta
23:27,weekend,sb,vta
23:57,weekend,sb,vta
