type,time,schedule,direction,operator
local,4:30,weekday,nb,caltrain
local,5:05,weekday,nb,caltrain
bb,5:45,weekday,nb,caltrain
ls,5:57,weekday,nb,caltrain
bb,6:03,weekday,nb,caltrain
ls,6:19,weekday,nb,caltrain
bb,6:45,weekday,nb,caltrain
ls,6:50,weekday,nb,caltrain
ls,6:57,weekday,nb,caltrain
bb,7:03,weekday,nb,caltrain
ls,7:18,weekday,nb,caltrain
bb,7:45,weekday,nb,caltrain
ls,7:50,weekday,nb,caltrain
ls,7:57,weekday,nb,caltrain
bb,8:03,weekday,nb,caltrain
ls,8:22,weekday,nb,caltrain
ls,8:40,weekday,nb,caltrain
local,9:15,weekday,nb,caltrain
ls,9:50,weekday,nb,caltrain
local,10:15,weekday,nb,caltrain
local,11:10,weekday,nb,caltrain
local,12:10,weekday,nb,caltrain
local,13:10,weekday,nb,caltrain
local,14:15,weekday,nb,caltrain
ls,14:40,weekday,nb,caltrain
local,15:05,weekday,nb,caltrain
ls,15:45,weekday,nb,caltrain
ls,16:08,weekday,nb,caltrain
bb,16:22,weekday,nb,caltrain
ls,16:31,weekday,nb,caltrain
ls,16:40,weekday,nb,caltrain
bb,16:45,weekday,nb,caltrain
ls,17:08,weekday,nb,caltrain
bb,17:22,weekday,nb,caltrain
ls,17:31,weekday,nb,caltrain
ls,17:40,weekday,nb,caltrain
bb,17:45,weekday,nb,caltrain
ls,18:08,weekday,nb,caltrain
bb,18:22,weekday,nb,caltrain
ls,18:31,weekday,nb,caltrain
ls,18:45,weekday,nb,caltrain
local,18:50,weekday,nb,caltrain
local,19:30,weekday,nb,caltrain
local,20:30,weekday,nb,caltrain
local,21:30,weekday,nb,caltrain
local,22:30,weekday,nb,caltrain
local,6:28,weekday,sb,caltrain
local,6:58,weekday,sb,caltrain
ls,7:20,weekday,sb,caltrain
ls,7:45,weekday,sb,caltrain
ls,8:11,weekday,sb,caltrain
bb,8:03,weekday,sb,caltrain
bb,8:16,weekday,sb,caltrain
ls,8:34,weekday,sb,caltrain
ls,8:45,weekday,sb,caltrain
ls,9:10,weekday,sb,caltrain
bb,9:03,weekday,sb,caltrain
bb,9:16,weekday,sb,caltrain
ls,9:34,weekday,sb,caltrain
ls,9:45,weekday,sb,caltrain
bb,10:10,weekday,sb,caltrain
ls,10:03,weekday,sb,caltrain
local,10:34,weekday,sb,caltrain
ls,11:04,weekday,sb,caltrain
local,11:34,weekday,sb,caltrain
local,12:34,weekday,sb,caltrain
local,13:34,weekday,sb,caltrain
local,14:34,weekday,sb,caltrain
local,15:34,weekday,sb,caltrain
ls,16:04,weekday,sb,caltrain
local,16:38,weekday,sb,caltrain
ls,17:04,weekday,sb,caltrain
bb,17:09,weekday,sb,caltrain
ls,17:28,weekday,sb,caltrain
bb,17:36,weekday,sb,caltrain
ls,18:00,weekday,sb,caltrain
bb,18:14,weekday,sb,caltrain
bb,18:20,weekday,sb,caltrain
ls,18:30,weekday,sb,caltrain
bb,18:36,weekday,sb,caltrain
ls,19:00,weekday,sb,caltrain
bb,19:14,weekday,sb,caltrain
ls,19:30,weekday,sb,caltrain
bb,19:36,weekday,sb,caltrain
ls,20:00,weekday,sb,caltrain
ls,20:18,weekday,sb,caltrain
local,21:06,weekday,sb,caltrain
local,22:13,weekday,sb,caltrain
local,23:13,weekday,sb,caltrain
local,24:13,weekday,sb,caltrain
local,25:34,weekday,sb,caltrain
standard,6:32,weekday,wb,ace
standard,7:47,weekday,wb,ace
standard,8:52,weekday,wb,ace
standard,9:17,weekday,wb,ace
standard,15:35,weekday,eb,ace
standard,16:35,weekday,eb,ace
standard,17:35,weekday,eb,ace
standard,18:38,weekday,eb,ace
standard,5:30,weekday,nb,vta
standard,5:45,weekday,nb,vta
standard,6:00,weekday,nb,vta
standard,6:15,weekday,nb,vta
standard,6:30,weekday,nb,vta
standard,6:45,weekday,nb,vta
standard,7:00,weekday,nb,vta
standard,7:15,weekday,nb,vta
standard,7:30,weekday,nb,vta
standard,7:45,weekday,nb,vta
standard,8:00,weekday,nb,vta
standard,8:15,weekday,nb,vta
standard,8:30,weekday,nb,vta
standard,8:45,weekday,nb,vta
standard,9:00,weekday,nb,vta
standard,9:15,weekday,nb,vta
standard,9:30,weekday,nb,vta
standard,9:45,weekday,nb,vta
standard,10:00,weekday,nb,vta
standard,10:15,weekday,nb,vta
standard,10:45,weekday,nb,vta
standard,11:16,weekday,nb,vta
standard,11:46,weekday,nb,vta
standard,12:16,weekday,nb,vta
standard,12:46,weekday,nb,vta
standard,13:16,weekday,nb,vta
standard,13:46,weekday,nb,vta
standard,14:16,weekday,nb,vta
standard,14:46,weekday,nb,vta
standard,15:15,weekday,nb,vta
standard,15:30,weekday,nb,vta
standard,15:45,weekday,nb,vta
standard,16:00,weekday,nb,vta
standard,16:15,weekday,nb,vta
standard,16:30,weekday,nb,vta
standard,16:45,weekday,nb,vta
standard,17:00,weekday,nb,vta
standard,17:15,weekday,nb,vta
standard,17:30,weekday,nb,vta
standard,17:45,weekday,nb,vta
standard,18:00,weekday,nb,vta
standard,18:15,weekday,nb,vta
standard,18:31,weekday,nb,vta
standard,18:46,weekday,nb,vta
standard,19:01,weekday,nb,vta
standard,19:16,weekday,nb,vta
standard,19:31,weekday,nb,vta
standard,19:46,weekday,nb,vta
standard,20:01,weekday,nb,vta
standard,20:16,weekday,nb,vta
standard,20:31,weekday,nb,vta
standard,20:42,weekday,nb,vta
standard,21:03,weekday,nb,vta
standard,21:33,weekday,nb,vta
standard,22:03,weekday,nb,vta
standard,22:33,weekday,nb,vta
standard,23:03,weekday,nb,vta
standard,23:33,weekday,nb,vta
standard,24:30,weekday,nb,vta
standard,5:03,weekday,sb,vta
standard,5:18,weekday,sb,vta
standard,5:33,weekday,sb,vta
standard,5:47,weekday,sb,vta
standard,6:02,weekday,sb,vta
standard,6:17,weekday,sb,vta
standard,6:32,weekday,sb,vta
standard,6:48,weekday,sb,vta
standard,7:03,weekday,sb,vta
standard,7:18,weekday,sb,vta
standard,7:33,weekday,sb,vta
standard,7:48,weekday,sb,vta
standard,8:03,weekday,sb,vta
standard,8:18,weekday,sb,vta
standard,8:33,weekday,sb,vta
standard,8:48,weekday,sb,vta
standard,9:03,weekday,sb,vta
standard,9:18,weekday,sb,vta
